GameID,Transformer_Color,PGN,NumMoves,Result
1,White,1.e4 c6 2.d4 e6 3.Nf3 Be7 4.Nc3 Nh6 5.Be2 Bf8,6,*
2,Black,1.a3 d5 2.a4 e6 3.h4,3,*
3,White,1.d4 e5 2.c4 Bd6 3.Nf3 Qf6 4.e3 Qg6 5.Nc3 Ne7,6,*
4,Black,1.Nc3 e6 2.a4 d5 3.Rb1 Nf6 4.e3 c6 5.Nf3 Be7 6.Ne5,6,*
5,White,1.e4 a6 2.Bc4 f6 3.d3 g6 4.f4 h5 5.Nf3 b5 6.g4 b4 7.c3 c5 8.g5 Rh6 9.e5 Ra7,10,*
6,Black,1.b3 e6 2.Nf3 Bc5 3.Nh4 Bb6 4.f4 Bd4 5.h3 Bxf6 6.Rg1,6,*
7,White,1.d4 Nc6 2.e4 g6 3.f4 Nh6 4.Nf3 f6 5.g3 Ne5 6.Ne5 f5 7.exf5 c6 8.Qh5 Nf7 9.Nf7+ h6,10,*
8,Black,1.g3 d5 2.e3 Nf6 3.Na3 Nc6 4.c4 Bg4 5.c5 a6 6.Qa4 Ne4 7.Bb5 d4 8.Bc4 Nf6 9.Qb4 g5 10.Bb5,10,*
9,White,1.d4 a5 2.e3 d5 3.e4 g5,4,*
10,Black,1.f4 d6 2.g4 e6 3.Bh3,3,*
11,White,1.e4 f5 2.Nf3 Na6 3.Bb5 b6 4.c3 c5 5.d4 g5 6.a3 Bh6,7,*
12,Black,1.Nh3 e5 2.a4 Nc6 3.c3 a6 4.a5 g6 5.e4 h6 6.Bxa6,6,*
13,White,1.e4 g6 2.Nf3 f6 3.Bc4 b5 4.Bb3 a6 5.d3 Bh6 6.c3 d5,7,*
14,Black,1.c4 e5 2.Qa4 Nc6 3.e3 b6 4.Nh3 Bb7 5.Ng5 Nd4 6.Qb4 Bxf3 7.Bd3 Rb8 8.Qxf8+ Kf8 9.Bg6 h5 10.Nxf7 c5 11.Rf1,11,*
15,White,1.e4 g5 2.Bc4 Nh6 3.Nc3 Nc6 4.d3 a6 5.Nf3 Rb8 6.Bb5 Nd4 7.Be3 Nc6 8.d4 Bg7 9.Nd5 Rg8 10.a4 f6 11.g3 Bh8 12.Nf4 d6 13.c4 b6,14,*
16,Black,1.e3 c6 2.Qe2 d5 3.Qg4 Nf6 4.c3 h6 5.a4,5,*
17,White,1.d4 c5 2.c4 Nh6 3.Nc3 b5 4.a3 Qa5 5.e4 Ng8 6.d5 Qa6 7.a4 Nc6 8.Bd2 g6 9.Nf3 Qa5 10.Be3 f6,11,*
18,Black,1.h4 c5 2.d4 d6 3.f4 Nf6 4.Nc3 e6 5.Qd2 e5 6.dxc5 dxc5 7.Qxd8+,7,*
19,White,1.d4 c5 2.Bf4 b6 3.Nf3 Nc6 4.e3 Nb4 5.Bd3 e5 6.h3 Nxc2+,7,*
20,Black,1.d3 d5 2.Kd2 e5 3.Ke3 c6 4.a3 Bb4 5.f3 Bg4 6.Nh3 Qb6 7.d4 e4 8.Kf4 Nd7 9.axb4 Ne7 10.Nc3,10,*
21,White,1.d4 Na6 2.Bg5 b5 3.Nc3 f6 4.e4 h6 5.Nf3 d5 6.Bb5 Qd7 7.h3 Bb7,8,*
22,Black,1.d3 Nf6 2.b3 g6 3.g4 Bg7 4.Bh3 d6 5.Nd2 d5 6.e3 e5 7.c3,7,*
23,White,1.e4 g6 2.Nc3 h5 3.d4 e6 4.Nf3 Na6 5.Ne2 Rh6,6,*
24,Black,1.e4 e5 2.b4 Nc6 3.Qf3 Nf6 4.g3 d5 5.Qe3 Nd7 6.Nf3 Bb4 7.Qxa7 Be7 8.Ba3 Ba3 9.exd5 g5 10.Qa6,10,*
25,White,1.d4 g6 2.Nf3 e5 3.Bg5 h6 4.a3 e4 5.Nc3 c6,6,*
26,Black,1.a4 e6 2.f4 d5 3.g4 Nf6 4.d3,4,*
27,White,1.e4 Nc6 2.Nf3 d5 3.exd5 Bd7 4.Be2 Nd4 5.Nd4+ e5 6.d3 Ba3,7,*
28,Black,1.f3 d6 2.g4 e6 3.c4 Nd7 4.Qc2 c5 5.h3 Nh6 6.Qxh7 e5 7.Qd3 Qh4 8.Kd1 f5 9.Bg2,9,*
29,White,1.e4 h5 2.Nf3 g6 3.d4 Na6 4.g4 Rb8,5,*
30,Black,1.g3 e5 2.d3 Nc6 3.Nh3 Nf6 4.Nc3 Nd4 5.Kd2 Nf3 6.exf3,6,*
31,White,1.e4 f6 2.Nf3 f5 3.d4 a5 4.c4 fxe4 5.d5 c6 6.Nd4 Qc7 7.Bd3 exd3 8.f4 Nf6 9.Nf3 Kd8,10,*
32,Black,1.d3 d5 2.a4 Nf6 3.Kd2 e6 4.b3 Bd7 5.c3 c5 6.f3 g6 7.g4 Be7 8.f4 h5 9.e4 g5 10.Ra3 e5 11.fxe5 Rg8 12.Nh3 b5 13.Ra2 h4 14.Ke2,14,*
